epoch,train_loss,val_loss
1,0.1334073457843078,0.04262200759464427
2,0.03395876530677017,0.02710792778319196
3,0.02398464025290155,0.020710183614039722
4,0.019677730114348153,0.018026897141450567
5,0.017235680298605706,0.016217082290898396
6,0.015441875334884694,0.015047816465361208
7,0.014240090006481864,0.014169978791305536
8,0.013288248105963537,0.012986139123198352
9,0.012422406714338103,0.012210843082564541
10,0.011667973494955472,0.01143325924213174
11,0.011053474907920177,0.010730482779348953
12,0.01059466091665759,0.010496553369573777
13,0.010169056275966707,0.010521410233517992
14,0.009843346426513657,0.009829194072775448
15,0.009494473258140627,0.009498714292539826
16,0.00917951997393357,0.009343811540711152
17,0.008932472012047447,0.0090637022652958
18,0.008689262979685752,0.008972278006280525
19,0.008450740554145596,0.008826295208610311
20,0.00826636393234801,0.008494640152335545
