Modelo,Accuracy,Precision,Recall,F1,ROC_AUC,Train_Time,Predict_Time
SVM Clasico (RBF),1.0,1.0,1.0,1.0,1.0,0.006178140640258789,0.0011947154998779297
QSVM (Quantum Kernel),0.88,0.96,0.8275862068965517,0.8888888888888888,0.9868637110016419,0.0025610923767089844,0.0006656646728515625
